id,date,time,timezone,tweet,replies_count,retweets_count,likes_count,hashtags,retweet
1267749117440045056,2020-06-02,11:25:17,CEST,"As if your murder record across the globe aint enough; your blood thirst knows no bounds. United States of America you are a lone species, you overtook human kind! #AmericaOrTrump
#BlackLifesMatters
#Anomymous
#GeorgeFloyd",0,0,0,"['#americaortrump', '#blacklifesmatters', '#anomymous', '#georgefloyd']",False
1267749109856972801,2020-06-02,11:25:16,CEST,#AmericaOrTrump  https://twitter.com/sadkvac/status/1267736157368057858,0,0,1,['#americaortrump'],False
1267749103359967234,2020-06-02,11:25:14,CEST,#AmericaOrTrump #TrumpIncitesViolence #ComplicitCorruptGOP https://twitter.com/existentialfish/status/1267612075536326656,0,0,2,"['#americaortrump', '#trumpincitesviolence', '#complicitcorruptgop']",False
1267749095126511616,2020-06-02,11:25:12,CEST,"Warum bekommt so ein wichtiges Thema nur so wenig Aufmerksamkeit? Hauptsache der Wert der Aktien steigt, egal ob gerade der mchtigste Terrorist der Welt am ausrasten ist... 
#Brse #AmericaOrTrump #Trump2020 #TrumpGate https://twitter.com/rmn_pg/status/1267715762585821185",0,0,2,"['#brse', '#americaortrump', '#trump2020', '#trumpgate']",False
1267749089430519808,2020-06-02,11:25:11,CEST,               -    ....     BJP Vs Congress      ..  Local  Global    #AmericaOrTrump  https://twitter.com/brajeshksingh/status/1267656735017201664,0,0,0,['#americaortrump'],False
1267749088398848002,2020-06-02,11:25:10,CEST,#AmericaOrTrump #BlackLivesMatter #protests2020 #TrumpIncitesViolence #blacklifematters #seattleprotests #MondayMorning pic.twitter.com/OUZBUcDYMZ,0,0,0,"['#americaortrump', '#blacklivesmatter', '#protests2020', '#trumpincitesviolence', '#blacklifematters', '#seattleprotests', '#mondaymorning']",False
1267749074079567873,2020-06-02,11:25:07,CEST,"@realDonaldTrump will have the military go violently against people who demonstrate against racism.
Smells like facism.
#AmericaOrTrump #BlackLivesMatter #protests2020 #",0,0,0,"['#americaortrump', '#blacklivesmatter', '#protests2020']",False
1267749067007889421,2020-06-02,11:25:05,CEST,"Demedik mi sizlere Allah'n gazab iddetli olacaktr diye...!

#AmericaOrTrump
#SALI
#DictatorTrump pic.twitter.com/V5iDeuLtPZ",1,0,3,"['#americaortrump', '#sali', '#dictatortrump']",False
1267749056392069121,2020-06-02,11:25:03,CEST,"Herkes polise spam gnderir, protestocular korur, K-pop'a sayg duyar.  #AmericaOrTrump #anonymous #SALI #2haziran #AmericaOrTrump #Trump #GeorgeFloyd #dolar pic.twitter.com/hjwEEj3hXe",0,0,1,"['#americaortrump', '#anonymous', '#sali', '#2haziran', '#americaortrump', '#trump', '#georgefloyd', '#dolar']",False
1267749052558475264,2020-06-02,11:25:02,CEST,"It has come down to what we knew it would:

Donald Trump vs The United States of America 

#TrumpIncitesViolence #AmericaOrTrump
@WhiteHouse
#DonaldTrump",0,0,0,"['#trumpincitesviolence', '#americaortrump', '#donaldtrump']",False
1267749051413360640,2020-06-02,11:25:02,CEST,#AmericaOrTrump #BlackLivesMatter #BlakeLivesMatter #whyididntreport #Anomymous pic.twitter.com/FpBPdDB25t,0,1,1,"['#americaortrump', '#blacklivesmatter', '#blakelivesmatter', '#whyididntreport', '#anomymous']",False
1267749049664446466,2020-06-02,11:25:01,CEST,"u lanet dolarn dmesi iin daha ne olmal? Adamlar batyor dolar kyor, adamlar kazanyor yine dolar kyor. lkemde bir telefona bir araba paras vermekten bktm!

#AmericaOrTrump  pic.twitter.com/NtufWrAQHt",1,0,4,['#americaortrump'],False
1267749032941805568,2020-06-02,11:24:57,CEST,"WTF ?
#AmericaOrTrump  https://twitter.com/elonjames/status/1267462019227279360",0,0,0,['#americaortrump'],False
1267749025970872321,2020-06-02,11:24:56,CEST,"Yktn kadar yklasn amerika,
Kartrdn kadar karasn usa,
ldrdn kadar lesin amerika,
Zlmn kadar zlm gresin usa!
 #AmericaOrTrump #Trump #Amerika #tuprs #2haziran #ithalolsunbenimolsun pic.twitter.com/627EHqF1xf",0,0,1,"['#americaortrump', '#trump', '#amerika', '#tuprs', '#2haziran', '#ithalolsunbenimolsun']",False
1267749020249853952,2020-06-02,11:24:54,CEST,As I said just a matter of time before the people start shootinh back. Stay safe my American brothers and sisters. #BlackLivesMatter #AmericaOrTrump  https://twitter.com/youranoncentral/status/1267710275282546688,0,0,0,"['#blacklivesmatter', '#americaortrump']",False
1267749014977556485,2020-06-02,11:24:53,CEST,"#OPPOReno3Pro #AmericaOrTrump #UzmaHomeWrecker #BlackLivesMatter #TuesdayThoughts #sadafkawal #shahrozsabzwari 
Shahrooz Sabzwari Video Message after Marriage with Sadaf Kanwal  https://www.infobox247.com/2020/06/shahrooz-sabzwari-video-message.html",0,0,1,"['#opporeno3pro', '#americaortrump', '#uzmahomewrecker', '#blacklivesmatter', '#tuesdaythoughts', '#sadafkawal', '#shahrozsabzwari']",False
1267749009424351232,2020-06-02,11:24:52,CEST,"Bihar lagging behind in number of #coronavirus tests,can't catch up with rest of states,shameful!It fraud to health of people in Bihar?@BillGates had even sent test kits!#ByeByeIndiaOnlyBharat #AmericaOrTrump deep depression @irvpaswan @laluprasadrjd @UpendraRLSP @PrashantKishor",1,1,1,"['#coronavirus', '#byebyeindiaonlybharat', '#americaortrump']",False
